<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"CSS-030","2.5.8","AA","Controls with the same functionality or destination are combined within a single target area that is at least 24 by 24 CSS pixels.","Design","User Experience (UX) Design","Visual Design","Front-End Development","TBD"
"NAV-003","1.4.1","A","Additional visual and/or textual cues are provided when color is used to convey information.","Design","User Experience (UX) Design","Visual Design, Content Authoring","none","Requirement"
"NAV-004","2.2.1","A","Users are notified when time limits are about to expire.","Design","User Experience (UX) Design","Business Analysis","none","Requirement"
"NAV-005","2.2.1","A","Options to extend, or even turn off time limits are provided.","Design","User Experience (UX) Design","Business Analysis","none","Requirement"
"NAV-006","2.2.2","A","Users are given means to pause, stop or hide content that automatically updates.","Design","User Experience (UX) Design","none","none","Requirement"
"NAV-007","2.2.4","AAA","Users are provided with means to turn off all updates, except in case of emergencies.","Design","User Experience (UX) Design","none","none","Requirement"
"NAV-008","2.2.5","AAA","Users are provided with means to re-authenticate sessions without loss of data.","Design","User Experience (UX) Design","none","none","Requirement"
"NAV-009","2.4.1","A","Users can bypass blocks of content using skip links or similar mechanisms.","Design","User Experience (UX) Design","none","none","Requirement"
"NAV-010","2.4.1","A","Skip links (and similar mechanisms) for main content and navigation are provided at the most effective location in the interface (such as the very first tab stop).","Design","User Experience (UX) Design","none","none","Requirement"
"NAV-011","2.4.1","A","The functionality and expected destination of skip links and similar mechanisms is clearly defined.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"NAV-014","2.4.3","A","A logical and predictable focus order is defined for complex interactions.","Design","User Experience (UX) Design","none","none","Best Practice"
"NAV-020","2.4.5","AA","Multiple mechanisms are provided for wayfinding, such as navigation menus, breadcrumbs, search features, site map, progress bar, steps, etc.","Design","User Experience (UX) Design","none","none","Requirement"
"NAV-021","2.4.8","AAA","Indications are provided to help users identify their current location within the site.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"NAV-024","3.2.1","A","Setting the focus to a new element doesn't automatically trigger a context change, such as content updates or the opening of new windows.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"NAV-025","3.2.2","A","Interacting with input controls or other equivalent elements doesn't automatically trigger a change of context, unless the user has been notified ahead of time.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"NAV-026","3.2.3","AA","Navigation mechanisms are repeated consistently throughout the site or application in the same relative order.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"NAV-030","3.2.5","AAA","Links that open new windows visually indicate they will do so.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"NAV-032","3.2.6","AAA","Help mechanisms are repeated consistently throughout the site or application in the same relative order.","Design","User Experience (UX) Design","Visual Design","none","TBD"
"TAB-002","1.3.1","A","Table row and/or column headers provide context for data within the table.","Design","User Experience (UX) Design","none","none","Requirement"
"TAB-003","1.3.1","A","Data table structure is appropriate for the data being included.","Design","User Experience (UX) Design","none","none","Requirement"
"TAB-010","1.3.1","A","Large, complex data tables are broken into smaller, simpler data tables (when possible).","Design","User Experience (UX) Design","Visual Design, Content Authoring","none","Best Practice"
"TAB-011","1.3.1","A","Unrelated data is not included in the same data table.","Design","User Experience (UX) Design","Content Authoring","none","Best Practice"
"TAB-017","2.4.6","AA","All data table header cells are identified.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"ANM-003","1.2.1","A","Links to transcript files are provided in close proximity to the audio-only files.","Design","User Experience (UX) Design","none","none","Best Practice"
"ANM-004","1.2.1","A","The relationship between multimedia files and their associated transcript is clearly communicated through content sequence or focus order.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"ANM-005","1.2.1","A","Copy on the page identifies when video content has no sound.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"ANM-006","1.2.1","A","When appropriate, further information about the multimedia file is provided in proximity to the multimedia file.","Design","User Experience (UX) Design","none","none","Requirement"
"ANM-009","1.2.2","A","Multimedia player controls are provided to turn captions on or off.","Design","User Experience (UX) Design","none","none","Requirement"
"ANM-015","1.2.5","AA","Controls to toggle audio descriptions features are provided as part of the media player controls.","Design","User Experience (UX) Design","none","none","Best Practice"
"ANM-016","1.2.5","AA","Multimedia player controls are provided to access a version of the video with audio description.","Design","User Experience (UX) Design","none","none","Best Practice"
"ANM-020","1.2.8","AAA","Brief descriptions summarizing multimedia content are provided in close proximity to the audio and video files.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"ANM-022","1.4.2","A","Multimedia player controls are provided to turn sound on and off.","Design","User Experience (UX) Design","none","none","Best Practice"
"ANM-024","1.4.2","A","Volume controls for page-level multimedia files are visually located at the top of the page.","Design","User Experience (UX) Design","none","none","Requirement"
"ANM-026","1.4.2","A","Prerecorded or live video content is not set to auto-play.","Design","User Experience (UX) Design","none","none","Best Practice"
"ANM-027","1.4.7","AAA","Prerecorded audio-only background sounds can be controlled by the user.","Design","User Experience (UX) Design","Front-End Development","none","Best Practice"
"ANM-030","2.2.2","A","Multimedia player controls are provided to pause or play the multimedia file.","Design","User Experience (UX) Design","none","none","Requirement"
"ANM-031","2.2.3","AAA","Timing is not an essential part of the event or activity presented by the content.","Design","User Experience (UX) Design","Content Authoring","Business Analysis","Requirement"
"ANM-032","2.2.6","AAA","Users are warned that more than 20 hours of inactivity could lead to data loss.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"ANM-035","2.3.3","AAA","Animation features that create the illusion of movement are defined so that users can disable them.","Design","User Experience (UX) Design","Front-End Developement","none","Requirement"
"SCT-001","1.1.1","A","Emoticons, emojis, ASCII art, and other non-markup language constructs are supported with equivalent text alternatives and conveyed to assistive technologies.","Design","User Experience (UX) Design","Content Authoring","Front-End Development","Requirement"
"SCT-002","1.3.1","A","Emoticons, emojis, ASCII art, and other non-markup language constructs are not used as the only way to structure content or convey information.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"SCT-010","1.3.3","A","Objects that rely on shape to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-011","1.3.3","A","Objects that rely on size to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-012","1.3.3","A","Objects that rely on visual location to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Best Practice"
"SCT-013","1.3.3","A","Objects that rely on orientation to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-014","1.3.3","A","Objects that rely on sound to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"SCT-017","1.4.8","AAA","Fully justified text can easily be changed to ragged right text with a simple action.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"SCT-021","3.1.3","AAA","Unusual words, phrases, and abbreviations are organized into a glossary.","Design","User Experience (UX) Design","Content Authoring","none","Best Practice"
"SCT-022","3.1.3","AAA","Unusual words found in the content are linked to their definitions in a glossary.","Design","User Experience (UX) Design","Content Authoring","none","Best Practice"
"SCT-028","3.1.5","AAA","Content is displayed and structured in a way that makes it easier to read.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"SCT-029","3.1.6","AAA","Ambiguous words are supported by a mechanism that helps users identify their specific pronunciation.","Design","User Experience (UX) Design","Front-End Development","Content Authoring","Requirement"
"DYN-001","2.4.11","AA","Fixed-position content does not fully cover focused elements.","Design","User Experience (UX) Design","Front-End Development","Visual Design","TBD"
"DYN-002","2.4.12","AA","Fixed-position content does not cover any part of focused elements.","Design","User Experience (UX) Design","Front-End Development","Visual Design","TBD"
"DYN-003","4.1.3","AA","Status messages are announced by assistive technologies without affecting the focus.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
