<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"NAV-023","2.4.10","AAA","Content is logically organized using section headings.","Author","Content Authoring","User Experience (UX) Design","Front-End Development","Requirement"
"NAV-028","3.2.4","AA","The accessible name of user interface components used across the site or application are defined consistently.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"TAB-015","1.3.1","A","A meaningful description of the structure of data tables is provided.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-001","1.2.1","A","Text transcripts are provided for prerecorded audio-only files.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-002","1.2.1","A","Text transcripts are provided for prerecorded video-only files.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-007","1.2.2","A","Synchronized captions are provided for all prerecorded video content.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-008","1.2.2","A","Captions do not skip dialogues or important sounds.","Author","Content Authoring","none","none","Requirement"
"ANM-010","1.2.3","A","Text transcripts report all significant information from the audio track.","Author","Content Authoring","none","none","Requirement"
"ANM-011","1.2.3","A","Text transcripts or audio descriptions report all significant information from the visual track.","Author","Content Authoring","none","none","Requirement"
"ANM-012","1.2.4","AA","Synchronized captions are provided for all live video content.","Author","Content Authoring","none","none","Requirement"
"ANM-013","1.2.4","AA","Captions for live audio content are generated using real-time text transcription services.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-014","1.2.5","AA","Prerecorded videos have audio descriptions that captures all significant information from the visual track.","Author","Content Authoring","none","none","Best Practice"
"ANM-017","1.2.6","AAA","Sign language interpretation is provided for all prerecorded audio content in synchronized media.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-018","1.2.7","AAA","Extended audio description is provided for all prerecorded synchronized video content when pauses in foreground audio are insufficient to allow audio descriptions to convey the sense of the video.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-019","1.2.8","AAA","Text alternatives are provided for all prerecorded audio and video files.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-021","1.2.9","AAA","Live transcripts are provided for all audio content happening in real-time.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"ANM-028","1.4.7","AAA","Prerecorded audio-only speeches contain no background sound, or if they do, must be at least 20 decibels lower than the foreground speech content.","Author","Content Authoring","none","none","Requirement"
"SCT-007","1.3.1","A","The headings used in a page provide a logical outline for the document.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"SCT-019","3.1.1","A","The language definition of the document uses the correct value for language and locale.","Author","Content Authoring","none","none","Requirement"
"SCT-020","3.1.2","AA","Content passages that differ from the default are identified with the correct value for language and locale.","Author","Content Authoring","Front-End Development","none","Best Practice"
"SCT-024","3.1.5","AAA","Content is written in plain language using everyday words, to help users with different literacy levels and access needs.","Author","Content Authoring","none","none","Requirement"
